STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-12,4.92,,0,,0,,,94,70,,220,210,23,30
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-13,4.92,,0,,,,,94,73,,290,280,15,18.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-14,6.49,,0.03,,,,,96,72,,290,300,18.1,23
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-15,5.59,,0,,,,,93,71,,250,220,15,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-16,2.91,,0.65,,,,,91,70,,270,270,21.9,27.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-17,2.91,,0.2,,,,,93,70,,150,120,12.1,16.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-18,4.03,,0,,,,,95,72,,360,360,17,21
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-19,2.91,,0.13,,,,,96,74,,20,20,21,25.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-20,3.36,,0,,,,,96,72,,170,180,14.1,19.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-21,,,0,0,,,,82,74,0,,,,
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-22,3.36,,0,,0,,,92,71,,220,230,10.1,14.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-23,3.36,,0.01,,0,,,93,74,,360,10,14.1,18.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-24,1.79,,0.01,,0,0,,94,73,,320,320,12.1,15
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-25,4.03,,0.02,,,,,97,73,,210,240,17,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-26,4.92,,0,,0,0,,96,73,,220,210,17,21
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-27,8.72,,0,,0,0,,93,76,,240,310,15,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-28,9.4,,0.01,,,,,90,73,,260,220,23.9,34
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-29,6.26,,0,,,,,90,73,,290,300,21,25.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-30,6.71,,0,,,,,90,73,,250,290,17,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-07-31,3.36,,0,,,,,94,71,,240,240,19.9,25.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-01,4.92,,0,,,,,94,71,,360,140,14.1,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-02,5.37,,0,,,,,92,74,,350,320,21,29.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-03,3.8,,0,,,,,95,73,,330,330,10.1,14.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-04,3.58,,0.69,,,,,95,76,,210,240,16.1,21
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-05,2.91,,0,,,,,93,75,,320,310,14.1,16.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-06,4.25,,0,,,,,96,73,,310,330,13,18.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-07,2.68,,0,,,,,93,74,,270,270,14.1,17
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-08,5.14,,0.35,,0,,,90,74,,60,100,12.1,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-09,5.82,,0.03,,,,,88,75,,140,110,13,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-10,5.37,,0.05,,,,,88,75,,150,140,15,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-11,5.59,,0,,,,,90,74,,150,110,14.1,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-12,5.82,,0,,0,0,,93,74,,180,310,15,23
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-13,5.37,,0,,0,0,,93,73,,190,140,13,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-14,4.47,,0,,0,0,,95,71,,210,220,14.1,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-15,2.68,,0.03,,0,0,,93,72,,190,200,13,18.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-16,1.79,,0,,0,,,94,73,,170,190,10.1,14.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-17,3.58,,0.27,,,,,95,73,,220,200,16.1,21
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-18,2.91,,1.91,,0,,,95,70,,280,280,40.9,49
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-19,3.8,,0.13,,0,,,91,71,,250,260,14.1,18.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-20,6.71,,0.01,,0,0,,88,73,,200,210,17,21.9
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-21,6.49,,0.54,,0,0,,89,73,,310,310,25.9,32
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-22,3.8,,0,,0,0,,88,70,,320,80,12.1,19
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-23,1.34,,0,,0,0,,92,67,,90,10,6.9,11
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-24,3.36,,1.39,,0,0,,83,74,,220,70,8.9,12.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-25,1.79,,0,,,,,93,71,,20,20,8.9,16.1
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-26,2.01,,0,,,,,94,72,,150,70,10.1,15
USW00053863,"ATLANTA DEKALB PEACHTREE AIRPORT, GA US",33.875,-84.30222,305.3,2016-08-27,3.13,,0.01,,,,,92,73,,130,140,14.1,19
